posted_speed_limit,weather_condition,lighting_condition,alignment,roadway_surface_cond,num_units,crash_hour,crash_day_of_week,crash_month,sex,age,serious_accident
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,1,5,1,44.0,0
25,CLEAR,DAYLIGHT,CURVE ON GRADE,DRY,2,7,6,6,1,71.0,0
15,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,3,9,1,60.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,9,6,3,1,38.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,5,4,3,1,52.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,20,2,3,0,68.0,0
40,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,4,5,0,23.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,1,7,0,26.0,1
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,5,3,0,23.0,0
25,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,ICE,3,1,4,11,0,52.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,2,7,1,19.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,2,5,0,42.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,15,2,9,1,43.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT ON GRADE,DRY,2,16,5,1,0,32.0,0
30,CLEAR,DAYLIGHT,STRAIGHT ON GRADE,DRY,2,12,4,12,1,24.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,2,12,0,77.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,2,10,1,33.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,6,6,1,55.0,0
30,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,SNOW OR SLUSH,2,23,3,2,0,35.0,0
